lat,long,
47.26483,-52.76986, 
47.2648,-52.76986, 
47.26478,-52.76986, 
47.26476,-52.76987, 
47.26474,-52.76987, 
47.26472,-52.76988, 
47.26469,-52.76987, 
47.26468,-52.76986, 
47.26465,-52.76985, 
47.26464,-52.76982, 
47.26463,-52.7698, 
47.26461,-52.76977, 
47.26462,-52.76973, 
47.26462,-52.76973, 
47.26459,-52.76973, 
47.26457,-52.76972, 
47.26456,-52.76971, 
47.26453,-52.7697, 
47.26451,-52.76968, 
47.26449,-52.76967, 
47.26447,-52.76967, 
47.26444,-52.76967, 
47.26442,-52.76967, 
47.2644,-52.76967, 
47.26437,-52.76968, 
47.26434,-52.76968, 
47.26432,-52.76968, 
47.26431,-52.76966, 
47.26428,-52.76965, 
47.26426,-52.76964, 
47.26424,-52.76963, 
47.26422,-52.76963, 
47.2642,-52.76963, 
47.26419,-52.76962, 
47.26414,-52.76966, 
47.26412,-52.76966, 
47.26411,-52.76966, 
47.26409,-52.76966, 
47.26407,-52.76964, 
47.26405,-52.76964, 
47.26404,-52.76964, 
47.26402,-52.76963, 
47.26401,-52.76962, 
47.26399,-52.76961, 
47.26398,-52.76959, 
47.26397,-52.76957, 
47.26395,-52.76956, 
47.26394,-52.76957, 
47.26392,-52.76957, 
47.26391,-52.76957, 
47.26389,-52.76957, 
47.26388,-52.76957, 
47.26386,-52.76958, 
47.26384,-52.76958, 
47.26382,-52.76959, 
47.26381,-52.7696, 
47.26379,-52.76961, 
47.26378,-52.76962, 
47.26375,-52.76963, 
47.26374,-52.76965, 
47.26371,-52.76965, 
47.2637,-52.76966, 
47.26368,-52.76967, 
47.26366,-52.76968, 
47.26365,-52.76968, 
47.26363,-52.76969, 
47.26362,-52.7697, 
47.26359,-52.76971, 
47.26358,-52.76971, 
47.26356,-52.76972, 
47.26354,-52.76972, 
47.26353,-52.76973, 
47.26351,-52.76973, 
47.26349,-52.76973, 
47.26347,-52.76973, 
47.26345,-52.76973, 
47.26343,-52.76973, 
47.26342,-52.76973, 
47.2634,-52.76973, 
47.26338,-52.76974, 
47.26337,-52.76975, 
47.26335,-52.76975, 
47.26334,-52.76975, 
47.26331,-52.76976, 
47.26329,-52.76977, 
47.26327,-52.76977, 
47.26326,-52.76977, 
47.26324,-52.76977, 
47.26322,-52.76976, 
47.26321,-52.76977, 
47.26319,-52.76976, 
47.26318,-52.76976, 
47.26316,-52.76975, 
47.26314,-52.76975, 
47.26313,-52.76975, 
47.26311,-52.76974, 
47.26309,-52.76974, 
47.26307,-52.76973, 
47.26306,-52.76973, 
47.26303,-52.76973, 
47.26303,-52.76973, 
47.26301,-52.76973, 
47.26299,-52.76973, 
47.26298,-52.76973, 
47.26297,-52.76973, 
47.26295,-52.76973, 
47.26294,-52.76972, 
47.26292,-52.76972, 
47.26291,-52.76972, 
47.26289,-52.76972, 
47.26287,-52.76972, 
47.26285,-52.76972, 
47.26283,-52.76972, 
47.26282,-52.76972, 
47.2628,-52.76972, 
47.26279,-52.76972, 
47.26277,-52.76973, 
47.26275,-52.76973, 
47.26274,-52.76973, 
47.26272,-52.76974, 
47.26271,-52.76974, 
47.26269,-52.76974, 
47.26268,-52.76975, 
47.26266,-52.76975, 
47.26265,-52.76975, 
47.26263,-52.76976, 
47.26261,-52.76976, 
47.26258,-52.7698, 
47.26256,-52.76983, 
47.26253,-52.76985, 
47.26251,-52.76987, 
47.26249,-52.7699, 
47.26247,-52.76992, 
47.26246,-52.76994, 
47.26244,-52.76997, 
47.26243,-52.76998, 
47.26241,-52.76999, 
47.26239,-52.76999, 
47.26237,-52.77, 
47.26235,-52.77, 
47.26232,-52.77001, 
47.26231,-52.77, 
47.26228,-52.77, 
47.26227,-52.77001, 
47.26224,-52.77, 
47.26223,-52.77, 
47.26221,-52.76999, 
47.2622,-52.76998, 
47.26217,-52.76998, 
47.26214,-52.76998, 
47.26213,-52.76997, 
47.26211,-52.76997, 
47.26209,-52.76997, 
47.26207,-52.76996, 
47.26205,-52.76996, 
47.26203,-52.76996, 
47.26201,-52.76996, 
47.26199,-52.76997, 
47.26197,-52.76996, 
47.26195,-52.76996, 
47.26193,-52.76996, 
47.26191,-52.76996, 
47.2619,-52.76997, 
47.26188,-52.76996, 
47.26186,-52.76997, 
47.26184,-52.76998, 
47.26181,-52.76998, 
47.2618,-52.77, 
47.26178,-52.77002, 
47.26176,-52.77003, 
47.26174,-52.77004, 
47.26172,-52.77004, 
47.26171,-52.77002, 
47.2617,-52.77, 
47.26169,-52.77, 
47.26167,-52.76999, 
47.26165,-52.77, 
47.26163,-52.77, 
47.26161,-52.77001, 
47.2616,-52.77001, 
47.26158,-52.77002, 
47.26158,-52.77004, 
47.26157,-52.77006, 
47.26155,-52.77005, 
47.26153,-52.77005, 
47.2615,-52.77006, 
47.26148,-52.77007, 
47.26146,-52.77007, 
47.26145,-52.77007, 
47.26143,-52.77007, 
47.26139,-52.77008, 
47.26137,-52.77008, 
47.26135,-52.77008, 
47.26133,-52.77009, 
47.26132,-52.77009, 
47.2613,-52.7701, 
47.26129,-52.77011, 
47.26127,-52.77013, 
47.26126,-52.77015, 
47.26125,-52.77018, 
47.26123,-52.77019, 
47.26121,-52.77021, 
47.2612,-52.77022, 
47.26118,-52.77023, 
47.26116,-52.77024, 
47.26115,-52.77024, 
47.26113,-52.77025, 
47.26111,-52.77023, 
47.26109,-52.77021, 
47.26108,-52.77021, 
47.26106,-52.77019, 
47.26105,-52.77018, 
47.26102,-52.77017, 
47.26101,-52.77016, 
47.26099,-52.77015, 
47.26097,-52.77014, 
47.26096,-52.77014, 
47.26093,-52.77015, 
47.26092,-52.77015, 
47.2609,-52.77015, 
47.26089,-52.77015, 
47.26087,-52.77017, 
47.26085,-52.77019, 
47.26084,-52.77021, 
47.26083,-52.77023, 
47.26082,-52.77025, 
47.26081,-52.77027, 
47.2608,-52.77028, 
47.26079,-52.77032, 
47.26077,-52.77034, 
47.26076,-52.77036, 
47.26074,-52.77038, 
47.26073,-52.7704, 
47.26072,-52.77042, 
47.26071,-52.77044, 
47.26071,-52.77047, 
47.2607,-52.7705, 
47.26073,-52.77054, 
47.26074,-52.77054, 
47.26075,-52.77054, 
47.26076,-52.77053, 
47.26077,-52.77053, 
47.26078,-52.77053, 
47.26079,-52.77054, 
47.26081,-52.77054, 
47.26082,-52.77055, 
47.26083,-52.77054, 
47.26085,-52.77055, 
47.26086,-52.77055, 
47.26087,-52.77057, 
47.26087,-52.77057, 
47.26085,-52.77058, 
47.26084,-52.77058, 
47.26083,-52.77058, 
47.26081,-52.77057, 
47.2608,-52.77058, 
47.26078,-52.77058, 
47.26077,-52.77059, 
47.26075,-52.7706, 
47.26074,-52.77062, 
47.26073,-52.77063, 
47.26073,-52.77065, 
47.26072,-52.77066, 
47.26072,-52.77069, 
47.26071,-52.7707, 
47.26071,-52.77071, 
47.2607,-52.77074, 
47.2607,-52.77075, 
47.26069,-52.77077, 
47.26068,-52.77079, 
47.26067,-52.77079, 
47.26066,-52.77079, 
47.26065,-52.77078, 
47.26065,-52.77076, 
47.26064,-52.77074, 
47.26063,-52.77072, 
47.26062,-52.77071, 
47.26061,-52.77071, 
47.26059,-52.7707, 
47.26058,-52.77071, 
47.26058,-52.77073, 
47.26057,-52.77075, 
47.26057,-52.77077, 
47.26055,-52.77079, 
47.26055,-52.77081, 
47.26054,-52.77082, 
